Tweet_count,Original_Text,Translated_Text,Category,Sentiment
20,"Ce matin sur @VillageSemence , @benoistcdric rappelle le rôle géopolitique essentiel de l'export des céréales dans le monde : ""La souveraineté et la paix se construisent aussi avec le commerce, il ne faut pas l’oublier"" 🌾

🍽️Les céréales sont à la base de l'alimentation d'une https://t.co/3zC1q0KwRR","Ce matin sur @VillageSemence , @benoistcdric rappelle le rôle géopolitique essentiel de l'export des céréales dans le monde : ""La souveraineté et la paix se construisent aussi avec le commerce, il ne faut pas l’oublier"" 🌾

🍽️Les céréales sont à la base de l'alimentation d'une https://t.co/3zC1q0KwRR",mix,positive
21,"Bonjour 
Mon fils étudiant en master en nutrition et innovation santé cherche un stage dans l’agroalimentaire dans son cursus universitaire 
Merci de partager mon post et de me contacter en MP si vous pouvez l’aider 
Merci par avance 🙏🌞 https://t.co/8XudL2pke4","Bonjour 
Mon fils étudiant en master en nutrition et innovation santé cherche un stage dans l’agroalimentaire dans son cursus universitaire 
Merci de partager mon post et de me contacter en MP si vous pouvez l’aider 
Merci par avance 🙏🌞 https://t.co/8XudL2pke4",healthy,positive
22,"Depuis son adhésion au @SUN_Movement, la #CIV a fait de la #nutrition une priorité.
2.365 foyers de nutrition communautaire renforcent le développement #PourChaqueEnfant &amp; la sécurité nutritionnelle.
👉 https://t.co/vYJAN254eG
@jeffbasse @CiNutrition
#PowerTheChange https://t.co/rSEQLRvOvy","Depuis son adhésion au @SUN_Movement, la #CIV a fait de la #nutrition une priorité.
2.365 foyers de nutrition communautaire renforcent le développement #PourChaqueEnfant &amp; la sécurité nutritionnelle.
👉 https://t.co/vYJAN254eG
@jeffbasse @CiNutrition
#PowerTheChange https://t.co/rSEQLRvOvy",healthy,positive
23,"Protection de la population face aux risques liés aux PFAS, impôt plancher de 2% sur le patrimoine des ultra-riches, Sécurité sociale de l’alimentation, qualité de l’eau potable… L’@Assemblee_nat examine toute la journée les propositions de loi proposées par le @Gpe_EcoloSocial! https://t.co/Upj0fLbxbY","Protection de la population face aux risques liés aux PFAS, impôt plancher de 2% sur le patrimoine des ultra-riches, Sécurité sociale de l’alimentation, qualité de l’eau potable… L’@Assemblee_nat examine toute la journée les propositions de loi proposées par le @Gpe_EcoloSocial! https://t.co/Upj0fLbxbY",mix,positive
24,"La mission conjointe @UNFPAGabon &amp; le Gouvernement gabonais au Bénin, avec le soutien de @ONUGabon &amp; @UNBenin , vise à s’inspirer des succès des cantines scolaires pour améliorer la nutrition et la réussite scolaire des enfants gabonais. #ODD2 #ODD4 https://t.co/68xWkAYRPP","La mission conjointe @UNFPAGabon &amp; le Gouvernement gabonais au Bénin, avec le soutien de @ONUGabon &amp; @UNBenin , vise à s’inspirer des succès des cantines scolaires pour améliorer la nutrition et la réussite scolaire des enfants gabonais. #ODD2 #ODD4 https://t.co/68xWkAYRPP",healthy,positive
25,"Comment choisir le bon yaourt ?
Pour choisir un yaourt sain, il est essentiel de bien lire les étiquettes. Assurez-vous que le produit porte bien l'indication « yaourt », car cette mention garantit la présence des ferments vivants nécessaires pour obtenir les bienfaits santé","Comment choisir le bon yaourt ?
Pour choisir un yaourt sain, il est essentiel de bien lire les étiquettes. Assurez-vous que le produit porte bien l'indication « yaourt », car cette mention garantit la présence des ferments vivants nécessaires pour obtenir les bienfaits santé",mix,positive
26,"Défendre le droit à l’alimentation pour tous ! 

L’inscrire dans la Constitution et dans une loi-cadre. 

Présentation à la presse de notre Proposition de résolution, transpartisane, avec @boris_tavernier @CaroitEleonore et Richard Ramos. https://t.co/yZdEjQMY3y","Défendre le droit à l’alimentation pour tous ! 

L’inscrire dans la Constitution et dans une loi-cadre. 

Présentation à la presse de notre Proposition de résolution, transpartisane, avec @boris_tavernier @CaroitEleonore et Richard Ramos. https://t.co/yZdEjQMY3y",mix,positive
27,"Plutôt que de baisser les charges salariales pour augmenter les salaires nets, comme nous le proposons au @RNational_off, certains députés préfèrent créer une nouvelle taxe pour financer une “sécurité sociale de l’alimentation”.

L’État socialiste qui distribue des tickets","Plutôt que de baisser les charges salariales pour augmenter les salaires nets, comme nous le proposons au @RNational_off, certains députés préfèrent créer une nouvelle taxe pour financer une “sécurité sociale de l’alimentation”.

L’État socialiste qui distribue des tickets",mix,positive
28,"Regardez et écoutez cette vidéo mes amis ! 
C’est une véritable alerte rouge pour nos agriculteurs et un nouveau coup de force de la commission européenne.

Non , mille fois NON au traité du Mercosur , battons nous pour protéger notre alimentation et nos agriculteurs !!","Regardez et écoutez cette vidéo mes amis ! 
C’est une véritable alerte rouge pour nos agriculteurs et un nouveau coup de force de la commission européenne.

Non , mille fois NON au traité du Mercosur , battons nous pour protéger notre alimentation et nos agriculteurs !!",mix,negative
29,"L'@AnanBenin, acteur principal de mise en œuvre du Programme National d'Alimentation Scolaire Intégré (PNASI) a reçu la délégation gabonaise. Au cœur des échanges, les succès de la mise en œuvre et les défis avec des suggestions de Stratégies pour la délégation gabonaise https://t.co/hvfY5n1LoL","L'@AnanBenin, acteur principal de mise en œuvre du Programme National d'Alimentation Scolaire Intégré (PNASI) a reçu la délégation gabonaise. Au cœur des échanges, les succès de la mise en œuvre et les défis avec des suggestions de Stratégies pour la délégation gabonaise https://t.co/hvfY5n1LoL",mix,positive
30,"""Sécu de l'alimentation"" is the new Ticket de Rationnement https://t.co/nat6sf7yqA","""Sécu de l'alimentation"" is the new Ticket de Rationnement https://t.co/nat6sf7yqA",mix,neutral
31,"Les conseils en nutrition de Mawlaya El Hadji Ahmad Déme RTA. L'avantage de la fructose, sur le sucre industriel, l'énergie vivante... https://t.co/k4auFWqiIm","Les conseils en nutrition de Mawlaya El Hadji Ahmad Déme RTA. L'avantage de la fructose, sur le sucre industriel, l'énergie vivante... https://t.co/k4auFWqiIm",healthy,positive
32,"A l'école primaire de Dohouimè à Djidja, la délégation du Gabon apprécie le travail de @unfpa_benin et #WFPBenin pour que chaque enfant grandisse en sécurité, et ait une alimentation saine https://t.co/i3atibFfjj","A l'école primaire de Dohouimè à Djidja, la délégation du Gabon apprécie le travail de @unfpa_benin et #WFPBenin pour que chaque enfant grandisse en sécurité, et ait une alimentation saine https://t.co/i3atibFfjj",healthy,positive
33,"🌾 Avec 80 % de son territoire recouvert d’espaces agricoles, forestiers et naturels, l’Île-de-France est un grand territoire rural.

Voici comment la Région agit pour soutenir ses agriculteurs, préserver ses terres et garantir une alimentation locale et de qualité ! (1/4) ⤵️ https://t.co/O8vZYOX5iW","🌾 Avec 80 % de son territoire recouvert d’espaces agricoles, forestiers et naturels, l’Île-de-France est un grand territoire rural.

Voici comment la Région agit pour soutenir ses agriculteurs, préserver ses terres et garantir une alimentation locale et de qualité ! (1/4) ⤵️ https://t.co/O8vZYOX5iW",mix,positive
34,"🚨 Adhérez GRATUITEMENT au label ""Sans Farine d'Insecte"" ! 🚨

🔎 Vérifiez les produits, exigez la transparence et soutenez une alimentation sans surprises.

💪 Rejoignez le mouvement dès maintenant !

👉 https://t.co/VsojezGps8 https://t.co/tRM3KvGJkn","🚨 Adhérez GRATUITEMENT au label ""Sans Farine d'Insecte"" ! 🚨

🔎 Vérifiez les produits, exigez la transparence et soutenez une alimentation sans surprises.

💪 Rejoignez le mouvement dès maintenant !

👉 https://t.co/VsojezGps8 https://t.co/tRM3KvGJkn",mix,positive
35,"Make America Healthy Again! La révolution RFK | Idriss Aberkane reçoit le Professeur Didier Raoult
https://t.co/NF7FNhPrp9","Make America Healthy Again! La révolution RFK | Idriss Aberkane reçoit le Professeur Didier Raoult
https://t.co/NF7FNhPrp9",healthy,positive
36,"🥛 Produits laitiers et poids : que dit la science?

🔹 Une faible à modérée consommation de produits laitiers est associée à un risque plus élevé de surpoids et d’obésité.🤔
🔹 À l’inverse, une consommation élevée pourrait avoir un effet protecteur. ✅
🔹 Aucune association https://t.co/Q8CNUcMW0h","🥛 Produits laitiers et poids : que dit la science?

🔹 Une faible à modérée consommation de produits laitiers est associée à un risque plus élevé de surpoids et d’obésité.🤔
🔹 À l’inverse, une consommation élevée pourrait avoir un effet protecteur. ✅
🔹 Aucune association https://t.co/Q8CNUcMW0h",unhealthy,neutral
37,"Tentés par un verre en terrasse ? @laBnF et @GallicaBnF vous invitent à découvrir ""Petits et grands verres : choix des meilleurs cocktails"" (1929), avec les merveilleuses illustrations de Jean-Emile Laboureur. 
https://t.co/PVSxFjRVAr","Tentés par un verre en terrasse ? @laBnF et @GallicaBnF vous invitent à découvrir ""Petits et grands verres : choix des meilleurs cocktails"" (1929), avec les merveilleuses illustrations de Jean-Emile Laboureur. 
https://t.co/PVSxFjRVAr",mix,positive
38,"Quels sont les bienfaits du #zinc pour la santé ?

✅ Renforce le système immunitaire 🛡️
✅ Favorise la cicatrisation des plaies 🩹
✅ Contribue à la santé de la peau, des cheveux et des ongles 💅
✅ Soutient la croissance et le développement 📈

Le lait, le yaourt et le fromage https://t.co/wU64HO2pbQ","Quels sont les bienfaits du #zinc pour la santé ?

✅ Renforce le système immunitaire 🛡️
✅ Favorise la cicatrisation des plaies 🩹
✅ Contribue à la santé de la peau, des cheveux et des ongles 💅
✅ Soutient la croissance et le développement 📈

Le lait, le yaourt et le fromage https://t.co/wU64HO2pbQ",mix,positive
39,"#ÀlaUne du 20 février 2025  
#Alimentation #SécuritéSociale #Cadenet #Agriculture #Marseille #J4 #SecoursPopulaire #Cézanne #Avignon #Piscine 
En kiosque et par abonnement sur https://t.co/v33E8KieoH https://t.co/jtkP9Ikxah","#ÀlaUne du 20 février 2025  
#Alimentation #SécuritéSociale #Cadenet #Agriculture #Marseille #J4 #SecoursPopulaire #Cézanne #Avignon #Piscine 
En kiosque et par abonnement sur https://t.co/v33E8KieoH https://t.co/jtkP9Ikxah",mix,neutral
40,"Quelques résultats de « collègues » qui vont sortir les armes au Chianti dans 26 jours sur la Duc’Ronik n202 🧐
.
On commence à décharger le jambon par ici… Le taf est fait, ça va maintenant fignoler les détails…
Vendredi place au plan nutrition sans assistance 😛 https://t.co/hKbQXSO3Fj","Quelques résultats de « collègues » qui vont sortir les armes au Chianti dans 26 jours sur la Duc’Ronik n202 🧐
.
On commence à décharger le jambon par ici… Le taf est fait, ça va maintenant fignoler les détails…
Vendredi place au plan nutrition sans assistance 😛 https://t.co/hKbQXSO3Fj",healthy,positive
41,"Saviez-vous que la digestion du lactose ne dépend pas seulement de l’enzyme lactase, mais aussi de la vitesse à laquelle les aliments quittent l’estomac ? ⏳

📊 Une étude a montré que le lait se vide de l’estomac en 27 min, tandis que le yaourt prend 70 min. Résultat : la https://t.co/ZtOoaKm9Km","Saviez-vous que la digestion du lactose ne dépend pas seulement de l’enzyme lactase, mais aussi de la vitesse à laquelle les aliments quittent l’estomac ? ⏳

📊 Une étude a montré que le lait se vide de l’estomac en 27 min, tandis que le yaourt prend 70 min. Résultat : la https://t.co/ZtOoaKm9Km",mix,neutral
42,Première journée sur le Salon International de l’Agriculture. Des rencontres et des échanges passionnants et constructifs autour des valeurs et des enjeux environnementaux et sociaux de notre alimentation. #sia #diplomatieculinaire #ambassadedefrancedelagastronomie https://t.co/4O7fEm9ElM,Première journée sur le Salon International de l’Agriculture. Des rencontres et des échanges passionnants et constructifs autour des valeurs et des enjeux environnementaux et sociaux de notre alimentation. #sia #diplomatieculinaire #ambassadedefrancedelagastronomie https://t.co/4O7fEm9ElM,mix,positive
43,"@marinetondelier 150 € par mois pour tous pour faire ses courses 🛒 !

Les députés écologistes présentent une proposition de loi à 3 000 Milliards d'euros qui vise à soutenir les expérimentations locales de la ""Sécurité sociale de l'alimentation""
#DirectAN #NFP #EELV 🌼
https://t.co/7eAFq97l9c","@marinetondelier 150 € par mois pour tous pour faire ses courses 🛒 !

Les députés écologistes présentent une proposition de loi à 3 000 Milliards d'euros qui vise à soutenir les expérimentations locales de la ""Sécurité sociale de l'alimentation""
#DirectAN #NFP #EELV 🌼
https://t.co/7eAFq97l9c",mix,positive
44,"Suppression des agents chimiques nocifs dans l’agriculture, aide aux petites exploitations, reforestation, réglementation sur l’alimentation transformée, ca semble être un  programme empreint de plein de bon sens. Pourquoi nos médias n’en parlent pas ?","Suppression des agents chimiques nocifs dans l’agriculture, aide aux petites exploitations, reforestation, réglementation sur l’alimentation transformée, ca semble être un  programme empreint de plein de bon sens. Pourquoi nos médias n’en parlent pas ?",mix,negative
45,"Il faudrait créer une Carte Pass, où le Pass Alimentation, le Pass Culture, le Pass Internet, le Pass Loisirs, le Pass Mobilité et le Pass Énergie se coupleraient à la carte Laifesse pour que je te fourre la rondelle encore plus facilement Nicolas.","Il faudrait créer une Carte Pass, où le Pass Alimentation, le Pass Culture, le Pass Internet, le Pass Loisirs, le Pass Mobilité et le Pass Énergie se coupleraient à la carte Laifesse pour que je te fourre la rondelle encore plus facilement Nicolas.",mix,positive
46,"Cet après-midi rencontre avec @AudreyPulvar pour échanger sur la #viande en restauration collective.

Nos élus ont rappelé l’importance d’une viande locale et de qualité dans l’alimentation des jeunes franciliens!

Ils ont également échangé sur les défis futurs en RHD Collective. https://t.co/FvLB2F8vkf","Cet après-midi rencontre avec @AudreyPulvar pour échanger sur la #viande en restauration collective.

Nos élus ont rappelé l’importance d’une viande locale et de qualité dans l’alimentation des jeunes franciliens!

Ils ont également échangé sur les défis futurs en RHD Collective. https://t.co/FvLB2F8vkf",mix,positive
47,"🍽️ Nos chefs ont du talent ! 2 chefs de cantines des collèges la Loire seront au @Salondelagri pour mettre en lumière nos produits locaux et les circuits courts. Une cuisine de grande qualité à découvrir les 24, 25 et 26/02 sur le stand du Département ! #SIA2025 #alimentation https://t.co/CWX39ATdEQ","🍽️ Nos chefs ont du talent ! 2 chefs de cantines des collèges la Loire seront au @Salondelagri pour mettre en lumière nos produits locaux et les circuits courts. Une cuisine de grande qualité à découvrir les 24, 25 et 26/02 sur le stand du Département ! #SIA2025 #alimentation https://t.co/CWX39ATdEQ",mix,positive
48,"Alors que huit millions de personnes ont recours, en France, à l’#aidealimentaire, l’idée d’une sécurité sociale de l’alimentation avance. #Montpellier est la plus grande ville de France à expérimenter ce modèle qui s’est invité à l’Assemblée nationale.
https://t.co/3sfijSLoMV","Alors que huit millions de personnes ont recours, en France, à l’#aidealimentaire, l’idée d’une sécurité sociale de l’alimentation avance. #Montpellier est la plus grande ville de France à expérimenter ce modèle qui s’est invité à l’Assemblée nationale.
https://t.co/3sfijSLoMV",mix,positive
49,"#RDC: Du miel made in #Kashobwe prêt à la consommation locale et à l'exportation. 
C'est possible que la  RDC puisse atteindre l'autosuffisance alimentation; et @moise_katumbi fait la démonstration chaque jour. https://t.co/wbCEHZLoOT","#RDC: Du miel made in #Kashobwe prêt à la consommation locale et à l'exportation. 
C'est possible que la  RDC puisse atteindre l'autosuffisance alimentation; et @moise_katumbi fait la démonstration chaque jour. https://t.co/wbCEHZLoOT",mix,positive
50,"Dans nos villages jusqu'à présent c'est difficile de voir quelqu'un de ""gros"" , l'alimentation saine + les activités quotidiennes leur permettent de maintenir la ""taille"" comme on dit.","Dans nos villages jusqu'à présent c'est difficile de voir quelqu'un de ""gros"" , l'alimentation saine + les activités quotidiennes leur permettent de maintenir la ""taille"" comme on dit.",healthy,negative
51,"Nous les empoisonnerons par l'air, l'eau , l'alimentation ,les médicaments .
Nous utiliserons le mensonge , la ruse et la force. https://t.co/F1EW8MLGDp","Nous les empoisonnerons par l'air, l'eau , l'alimentation ,les médicaments .
Nous utiliserons le mensonge , la ruse et la force. https://t.co/F1EW8MLGDp",mix,negative
52,"La souveraineté alimentaire est en jeu. Il faut stopper l’hémorragie des terres agricoles en région Paca (-7 082 ha en 5 ans). Protéger le foncier contre la spéculation et soutenir une agriculture locale et durable.
🥕 Relocaliser notre alimentation ne peut pas attendre","La souveraineté alimentaire est en jeu. Il faut stopper l’hémorragie des terres agricoles en région Paca (-7 082 ha en 5 ans). Protéger le foncier contre la spéculation et soutenir une agriculture locale et durable.
🥕 Relocaliser notre alimentation ne peut pas attendre",mix,positive
53,"Mohamed OUBAHILI,

 la main et le pétrin, Alimentation céréalière et pratique culinaires en Occident musulman au Moyen Âge.

In-8°,592 Pages, Casablanca, Fondation du Roi Abdul-Aziz Al Saoud pour les études Islamiques et les Sciences Humaines, 2011, 1 vol. https://t.co/j34C9zbbYy","Mohamed OUBAHILI,

 la main et le pétrin, Alimentation céréalière et pratique culinaires en Occident musulman au Moyen Âge.

In-8°,592 Pages, Casablanca, Fondation du Roi Abdul-Aziz Al Saoud pour les études Islamiques et les Sciences Humaines, 2011, 1 vol. https://t.co/j34C9zbbYy",mix,neutral
54,"#SIA2025LCA |

J-1 avant le #SIA, sur @bfmbusiness, @ChargeDom a envoyé un message fort :

""@EmmanuelMacron évoque une ""nouvelle ère"" géopolitique, la France doit mobiliser ses atouts stratégiques. Et quoi de plus stratégique que notre #alimentation ? ""
👉 https://t.co/Scu8h4uccW https://t.co/oYNHpQ7RRr","#SIA2025LCA |

J-1 avant le #SIA, sur @bfmbusiness, @ChargeDom a envoyé un message fort :

""@EmmanuelMacron évoque une ""nouvelle ère"" géopolitique, la France doit mobiliser ses atouts stratégiques. Et quoi de plus stratégique que notre #alimentation ? ""
👉 https://t.co/Scu8h4uccW https://t.co/oYNHpQ7RRr",mix,positive
55,"Quotes &amp; Comments 
https://t.co/EC8IhVVqFj","Quotes & Comments 
https://t.co/EC8IhVVqFj",mix,neutral
